id,user_id,artist_id,event_type,event_target,created_at
1,29,6,unfollow_artist,NULL,1.65141E+12
2,42,19,scroll_page,NULL,1.65181E+12
3,15,27,scroll_page,NULL,1.65311E+12
4,19,12,scroll_page,NULL,1.6535E+12
5,35,30,scroll_page,NULL,1.65313E+12
6,18,32,scroll_page,NULL,1.65386E+12
7,45,35,play_track,7,1.65298E+12
8,17,40,scroll_page,NULL,1.65365E+12
9,16,40,play_track,5,1.65141E+12
10,42,19,pause_track,NULL,1.65372E+12
11,16,7,pause_track,NULL,1.65293E+12
12,47,27,add_track_to_playlist,90,1.65305E+12
13,25,14,unfollow_artist,NULL,1.65243E+12
14,47,25,add_track_to_playlist,22,1.65362E+12
15,14,15,scroll_page,NULL,1.65265E+12
16,6,37,scroll_page,NULL,1.65158E+12
17,31,18,hover_section,Related Artists,1.65385E+12
18,38,19,share_track,60,1.65337E+12
19,11,16,like_track,98,1.6521E+12
20,6,27,hover_artist_name,NULL,1.65406E+12
21,20,19,follow_artist,NULL,1.65287E+12
22,30,30,share_track,20,1.65311E+12
23,15,25,play_track,72,1.654E+12
24,25,18,like_track,87,1.65207E+12
25,23,4,share_track,47,1.65379E+12
26,49,39,play_track,47,1.65311E+12
27,43,18,play_track,19,1.65387E+12
28,12,7,scroll_page,NULL,1.6534E+12
29,4,35,add_track_to_playlist,60,1.65349E+12
30,39,6,pause_track,NULL,1.65326E+12
31,37,36,scroll_page,NULL,1.65343E+12
32,11,36,pause_track,NULL,1.65341E+12
33,7,30,add_track_to_playlist,32,1.65214E+12
34,25,19,share_track,31,1.6522E+12
35,50,10,play_track,67,1.65139E+12
36,26,29,scroll_page,NULL,1.65237E+12
37,46,38,scroll_page,NULL,1.65203E+12
38,32,27,scroll_page,NULL,1.65193E+12
39,25,18,pause_track,NULL,1.65241E+12
40,23,35,scroll_page,NULL,1.65307E+12
41,50,27,add_track_to_playlist,40,1.65213E+12
42,6,40,share_track,73,1.65377E+12
43,14,10,share_track,69,1.6522E+12
44,39,18,scroll_page,NULL,1.65313E+12
45,23,13,scroll_page,NULL,1.65359E+12
46,27,30,pause_track,NULL,1.65302E+12
47,34,38,pause_track,NULL,1.65258E+12
48,13,35,scroll_page,NULL,1.65195E+12
49,27,11,scroll_page,NULL,1.6519E+12
50,40,35,scroll_page,NULL,1.65341E+12
51,28,31,pause_track,NULL,1.65328E+12
52,32,21,scroll_page,NULL,1.65402E+12
53,23,23,play_track,34,1.653E+12
54,45,3,like_track,22,1.6535E+12
55,32,40,scroll_page,NULL,1.65256E+12
56,34,17,scroll_page,NULL,1.65328E+12
57,24,23,play_track,95,1.65181E+12
58,28,1,hover_artist_name,NULL,1.65318E+12
59,44,18,share_track,58,1.65239E+12
60,36,20,scroll_page,NULL,1.65412E+12
61,32,28,scroll_page,NULL,1.65177E+12
62,33,36,hover_section,Albums,1.65174E+12
63,28,7,pause_track,NULL,1.65173E+12
64,14,23,scroll_page,NULL,1.6541E+12
65,35,13,scroll_page,NULL,1.65401E+12
66,25,14,share_track,87,1.65397E+12
67,34,4,hover_artist_name,NULL,1.65175E+12
68,33,15,share_artist,NULL,1.65138E+12
69,27,32,scroll_page,NULL,1.65237E+12
70,30,33,play_track,83,1.65401E+12
71,23,12,scroll_page,NULL,1.65354E+12
72,16,9,scroll_page,NULL,1.65274E+12
73,40,28,share_track,65,1.65233E+12
74,1,28,add_track_to_playlist,46,1.65388E+12
75,29,17,play_track,82,1.65381E+12
76,7,23,play_track,42,1.65315E+12
77,15,26,hover_artist_name,NULL,1.65246E+12
78,26,12,scroll_page,NULL,1.65174E+12
79,15,32,scroll_page,NULL,1.65164E+12
80,49,5,pause_track,NULL,1.6531E+12
81,22,24,share_track,66,1.6536E+12
82,2,1,share_artist,NULL,1.65339E+12
83,12,5,share_track,43,1.65247E+12
84,14,3,play_track,27,1.65314E+12
85,38,40,scroll_page,NULL,1.65152E+12
86,27,27,scroll_page,NULL,1.65314E+12
87,33,8,like_track,42,1.65256E+12
88,32,17,scroll_page,NULL,1.65275E+12
89,44,9,scroll_page,NULL,1.65331E+12
90,15,38,play_track,63,1.65248E+12
91,29,34,scroll_page,NULL,1.65376E+12
92,14,3,play_track,71,1.65249E+12
93,19,32,add_track_to_playlist,74,1.65254E+12
94,5,31,pause_track,NULL,1.6518E+12
95,46,36,play_track,69,1.65185E+12
96,3,7,hover_section,Related Artists,1.65234E+12
97,41,22,scroll_page,NULL,1.65391E+12
98,43,30,play_track,90,1.65346E+12
99,37,37,hover_section,Popular Tracks,1.65155E+12
100,27,10,share_track,31,1.65204E+12
101,9,4,add_track_to_playlist,80,1.65181E+12
102,39,8,pause_track,NULL,1.65286E+12
103,8,18,scroll_page,NULL,1.65332E+12
104,33,22,like_track,55,1.65304E+12
105,32,40,like_track,18,1.65401E+12
106,33,2,add_track_to_playlist,26,1.65189E+12
107,15,1,play_track,16,1.65197E+12
108,32,8,play_track,77,1.65295E+12
109,12,2,play_track,82,1.65175E+12
110,4,22,scroll_page,NULL,1.65338E+12
111,42,19,play_track,86,1.65202E+12
112,3,3,share_track,1,1.65231E+12
113,18,18,share_track,27,1.65218E+12
114,17,35,unfollow_artist,NULL,1.65184E+12
115,25,6,scroll_page,NULL,1.65254E+12
116,2,17,pause_track,NULL,1.6539E+12
117,29,30,share_track,70,1.65221E+12
118,33,25,share_track,17,1.65285E+12
119,50,8,scroll_page,NULL,1.65342E+12
120,31,23,share_track,48,1.65389E+12
121,32,33,like_track,82,1.65411E+12
122,24,22,share_track,32,1.65353E+12
123,4,7,pause_track,NULL,1.65339E+12
124,32,28,like_track,65,1.65244E+12
125,25,19,scroll_page,NULL,1.65314E+12
126,42,34,play_track,36,1.65152E+12
127,50,15,play_track,82,1.65215E+12
128,49,13,add_track_to_playlist,84,1.65375E+12
129,50,23,hover_section,Albums,1.65204E+12
130,35,22,hover_artist_name,NULL,1.653E+12
131,4,15,scroll_page,NULL,1.65332E+12
132,34,16,pause_track,NULL,1.65366E+12
133,47,15,play_track,7,1.65354E+12
134,20,40,pause_track,NULL,1.65167E+12
135,18,39,share_track,30,1.65294E+12
136,35,38,scroll_page,NULL,1.65379E+12
137,21,33,like_track,31,1.65199E+12
138,8,16,scroll_page,NULL,1.6536E+12
139,24,38,like_track,69,1.65341E+12
140,6,11,hover_artist_name,NULL,1.65281E+12
141,42,33,pause_track,NULL,1.65354E+12
142,12,37,play_track,50,1.65237E+12
143,23,11,add_track_to_playlist,90,1.65216E+12
144,45,2,scroll_page,NULL,1.65213E+12
145,14,30,play_track,80,1.65277E+12
146,5,36,share_track,4,1.65255E+12
147,12,7,pause_track,NULL,1.65151E+12
148,39,23,play_track,34,1.65397E+12
149,43,28,hover_artist_name,NULL,1.6516E+12
150,25,14,follow_artist,NULL,1.65376E+12
151,42,29,like_track,29,1.65191E+12
152,14,5,share_track,93,1.65338E+12
153,50,31,like_track,46,1.65318E+12
154,25,18,share_track,47,1.65238E+12
155,1,26,scroll_page,NULL,1.65371E+12
156,40,5,share_track,65,1.65178E+12
157,32,31,scroll_page,NULL,1.65411E+12
158,14,27,play_track,19,1.65329E+12
159,13,23,share_track,19,1.65213E+12
160,33,3,scroll_page,NULL,1.65171E+12
161,3,38,scroll_page,NULL,1.65287E+12
162,38,33,add_track_to_playlist,80,1.65259E+12
163,1,34,play_track,32,1.65139E+12
164,32,21,pause_track,NULL,1.6518E+12
165,33,28,add_track_to_playlist,26,1.65176E+12
166,13,33,scroll_page,NULL,1.65259E+12
167,14,39,like_track,21,1.65228E+12
168,49,40,share_artist,NULL,1.65379E+12
169,22,31,follow_artist,NULL,1.65412E+12
170,49,40,share_track,65,1.65234E+12
171,38,27,pause_track,NULL,1.6514E+12
172,25,4,play_track,27,1.65311E+12
173,6,10,add_track_to_playlist,94,1.65156E+12
174,23,4,scroll_page,NULL,1.65413E+12
175,30,21,scroll_page,NULL,1.65342E+12
176,20,25,play_track,79,1.65168E+12
177,45,4,pause_track,NULL,1.65255E+12
178,45,28,scroll_page,NULL,1.65407E+12
179,2,37,add_track_to_playlist,36,1.65357E+12
180,11,20,hover_section,Related Artists,1.65185E+12
181,50,8,like_track,71,1.65298E+12
182,14,13,play_track,43,1.65166E+12
183,40,17,scroll_page,NULL,1.65305E+12
184,2,35,like_track,55,1.65152E+12
185,20,19,add_track_to_playlist,67,1.65373E+12
186,19,36,hover_section,Popular Tracks,1.65208E+12
187,27,11,scroll_page,NULL,1.65318E+12
188,37,12,share_track,76,1.65229E+12
189,46,2,like_track,14,1.65139E+12
190,26,18,scroll_page,NULL,1.65208E+12
191,43,34,hover_section,Albums,1.65264E+12
192,6,14,play_track,19,1.65263E+12
193,33,8,follow_artist,NULL,1.653E+12
194,15,12,play_track,94,1.65144E+12
195,18,25,scroll_page,NULL,1.65151E+12
196,28,10,scroll_page,NULL,1.65149E+12
197,45,38,play_track,73,1.65162E+12
198,1,5,pause_track,NULL,1.65178E+12
199,26,35,follow_artist,NULL,1.6519E+12
200,31,27,share_track,14,1.65358E+12
201,5,33,play_track,79,1.65261E+12
202,45,40,share_track,57,1.65412E+12
203,39,9,scroll_page,NULL,1.65152E+12
204,36,26,add_track_to_playlist,59,1.65348E+12
205,49,2,share_track,93,1.6518E+12
206,28,25,play_track,69,1.65298E+12
207,38,35,play_track,50,1.65359E+12
208,21,3,play_track,86,1.6534E+12
209,10,34,share_artist,NULL,1.65282E+12
210,8,14,share_track,28,1.65248E+12
211,4,32,play_track,71,1.65374E+12
212,11,28,scroll_page,NULL,1.65354E+12
213,41,2,scroll_page,NULL,1.65306E+12
214,45,5,share_track,85,1.65212E+12
215,19,8,play_track,47,1.65142E+12
216,9,12,play_track,25,1.65222E+12
217,18,4,play_track,51,1.65163E+12
218,28,38,like_track,85,1.65279E+12
219,32,36,scroll_page,NULL,1.65356E+12
220,13,13,follow_artist,NULL,1.6532E+12
221,45,8,play_track,41,1.65238E+12
222,24,23,scroll_page,NULL,1.65254E+12
223,14,1,like_track,14,1.65136E+12
224,10,21,scroll_page,NULL,1.65141E+12
225,43,18,pause_track,NULL,1.65153E+12
226,1,22,scroll_page,NULL,1.65204E+12
227,46,11,hover_section,Related Artists,1.65155E+12
228,28,1,like_track,21,1.65143E+12
229,6,1,play_track,84,1.65324E+12
230,38,25,pause_track,NULL,1.65335E+12
231,43,22,scroll_page,NULL,1.65354E+12
232,7,18,scroll_page,NULL,1.65244E+12
233,38,13,pause_track,NULL,1.65232E+12
234,28,15,share_artist,NULL,1.65228E+12
235,22,5,scroll_page,NULL,1.65228E+12
236,4,1,play_track,29,1.65209E+12
237,39,25,add_track_to_playlist,52,1.65348E+12
238,30,5,play_track,97,1.65338E+12
239,28,38,like_track,40,1.65268E+12
240,40,33,add_track_to_playlist,61,1.65145E+12
241,28,16,pause_track,NULL,1.65381E+12
242,18,6,scroll_page,NULL,1.65306E+12
243,32,15,scroll_page,NULL,1.65363E+12
244,32,27,scroll_page,NULL,1.65325E+12
245,42,39,scroll_page,NULL,1.65269E+12
246,34,21,scroll_page,NULL,1.65267E+12
247,34,38,scroll_page,NULL,1.65286E+12
248,17,32,pause_track,NULL,1.65249E+12
249,33,16,like_track,96,1.65261E+12
250,43,15,pause_track,NULL,1.65191E+12
251,40,25,hover_section,Popular Tracks,1.65224E+12
252,9,7,play_track,19,1.65143E+12
253,25,31,share_track,20,1.65204E+12
254,35,1,scroll_page,NULL,1.65191E+12
255,8,37,like_track,32,1.65379E+12
256,49,34,share_track,15,1.65269E+12
257,3,11,like_track,82,1.65183E+12
258,11,12,scroll_page,NULL,1.65235E+12
259,21,19,follow_artist,NULL,1.6525E+12
260,47,1,share_track,55,1.65387E+12
261,42,23,scroll_page,NULL,1.65413E+12
262,32,39,share_track,85,1.6536E+12
263,13,34,like_track,45,1.65341E+12
264,27,34,share_track,86,1.65147E+12
265,34,24,play_track,59,1.6514E+12
266,20,37,add_track_to_playlist,80,1.65193E+12
267,14,8,play_track,34,1.65298E+12
268,15,29,play_track,59,1.65335E+12
269,48,1,scroll_page,NULL,1.65257E+12
270,47,28,scroll_page,NULL,1.65219E+12
271,4,2,play_track,23,1.65156E+12
272,27,25,scroll_page,NULL,1.65232E+12
273,32,32,hover_section,Popular Tracks,1.65252E+12
274,38,20,play_track,58,1.65248E+12
275,10,27,scroll_page,NULL,1.65386E+12
276,40,30,hover_section,Albums,1.65228E+12
277,35,8,follow_artist,NULL,1.65355E+12
278,15,33,add_track_to_playlist,46,1.65333E+12
279,24,23,add_track_to_playlist,72,1.65359E+12
280,2,19,add_track_to_playlist,74,1.65252E+12
281,33,29,scroll_page,NULL,1.65338E+12
282,9,39,share_track,81,1.65223E+12
283,16,14,scroll_page,NULL,1.65218E+12
284,1,31,scroll_page,NULL,1.65189E+12
285,41,24,like_track,72,1.65402E+12
286,25,6,scroll_page,NULL,1.65149E+12
287,8,13,scroll_page,NULL,1.6541E+12
288,22,15,scroll_page,NULL,1.6522E+12
289,49,23,scroll_page,NULL,1.65262E+12
290,45,27,pause_track,NULL,1.65364E+12
291,23,2,add_track_to_playlist,4,1.65254E+12
292,38,33,pause_track,NULL,1.65405E+12
293,21,7,play_track,97,1.65186E+12
294,3,1,scroll_page,NULL,1.6517E+12
295,5,12,share_track,3,1.65326E+12
296,36,39,scroll_page,NULL,1.65333E+12
297,34,2,play_track,77,1.65218E+12
298,12,3,add_track_to_playlist,70,1.65392E+12
299,31,1,play_track,68,1.6527E+12
300,40,2,pause_track,NULL,1.6541E+12
301,18,13,play_track,59,1.65403E+12
302,20,40,unfollow_artist,NULL,1.65323E+12
303,46,39,pause_track,NULL,1.65288E+12
304,26,12,hover_artist_name,NULL,1.65155E+12
305,34,31,play_track,57,1.65149E+12
306,15,36,follow_artist,NULL,1.65297E+12
307,1,5,pause_track,NULL,1.65148E+12
308,9,29,play_track,68,1.65363E+12
309,21,25,scroll_page,NULL,1.65399E+12
310,31,15,play_track,56,1.65403E+12
311,20,13,play_track,51,1.65188E+12
312,1,12,like_track,62,1.65397E+12
313,13,26,scroll_page,NULL,1.65329E+12
314,15,19,scroll_page,NULL,1.65195E+12
315,33,22,play_track,83,1.65139E+12
316,7,20,play_track,96,1.6535E+12
317,6,30,share_track,35,1.65228E+12
318,41,3,unfollow_artist,NULL,1.65193E+12
319,33,32,hover_section,Albums,1.65366E+12
320,35,2,scroll_page,NULL,1.65273E+12
321,19,20,add_track_to_playlist,92,1.65219E+12
322,19,14,share_artist,NULL,1.65393E+12
323,31,22,share_track,35,1.65148E+12
324,19,39,like_track,16,1.65222E+12
325,23,27,scroll_page,NULL,1.6522E+12
326,18,22,scroll_page,NULL,1.65138E+12
327,32,29,share_track,74,1.65318E+12
328,35,19,like_track,18,1.65164E+12
329,32,39,follow_artist,NULL,1.65245E+12
330,39,30,scroll_page,NULL,1.65164E+12
331,37,38,scroll_page,NULL,1.65225E+12
332,11,12,scroll_page,NULL,1.65209E+12
333,15,24,hover_section,Albums,1.65278E+12
334,18,27,share_track,88,1.65302E+12
335,45,10,like_track,82,1.65295E+12
336,38,21,hover_artist_name,NULL,1.65175E+12
337,5,30,like_track,69,1.65393E+12
338,45,27,hover_section,Related Artists,1.65369E+12
339,40,19,pause_track,NULL,1.65404E+12
340,41,34,scroll_page,NULL,1.6529E+12
341,18,32,play_track,56,1.65203E+12
342,16,29,scroll_page,NULL,1.65372E+12
343,38,3,play_track,82,1.65281E+12
344,5,24,share_track,35,1.65324E+12
345,46,16,share_artist,NULL,1.65241E+12
346,24,23,hover_section,Popular Tracks,1.65297E+12
347,4,38,like_track,71,1.65327E+12
348,3,11,scroll_page,NULL,1.653E+12
349,44,11,play_track,76,1.6516E+12
350,9,32,scroll_page,NULL,1.65355E+12
351,2,27,play_track,69,1.65295E+12
352,12,26,play_track,63,1.65381E+12
353,18,18,play_track,17,1.65167E+12
354,36,29,pause_track,NULL,1.65331E+12
355,50,28,like_track,4,1.65412E+12
356,25,6,like_track,34,1.65321E+12
357,41,36,share_artist,NULL,1.65231E+12
358,35,6,scroll_page,NULL,1.65204E+12
359,16,31,play_track,3,1.6531E+12
360,14,16,share_track,72,1.65382E+12
361,46,30,follow_artist,NULL,1.65242E+12
362,44,36,hover_section,Popular Tracks,1.65321E+12
363,14,16,follow_artist,NULL,1.65311E+12
364,11,5,play_track,91,1.6519E+12
365,25,5,add_track_to_playlist,95,1.65345E+12
366,38,18,play_track,97,1.65379E+12
367,2,28,scroll_page,NULL,1.65181E+12
368,14,25,scroll_page,NULL,1.65397E+12
369,3,38,pause_track,NULL,1.65313E+12
370,37,28,play_track,38,1.65341E+12
371,30,35,scroll_page,NULL,1.65151E+12
372,48,27,hover_section,Popular Tracks,1.65356E+12
373,33,31,scroll_page,NULL,1.65273E+12
374,22,16,play_track,82,1.65281E+12
